,City,RegionName,State,PTR_6_months,10Year,5Year,YOY,three_bed_buy_2016,three_bed_buy_2017,three_bed_rent_2016,three_bed_rent_2017,rent_change,buy_change
3707,Pooler,31322,GA,10.658333333333333,-0.00398150142876774,0.0277142570834055,0.0143348623853211,161600.0,165300.0,1312.5,1370.0,0.04380952380952381,0.022896039603960396
1771,Port Saint Lucie,34983,FL,10.671666666666667,-0.00985490025786695,0.15354259339267498,0.0948860135551448,166300.0,180600.0,1395.0,1500.0,0.07526881720430108,0.08598917618761275
3803,Jacksonville,32221,FL,10.686666666666667,-0.0168367514125082,0.0739024285199343,0.0542328042328042,130600.0,143100.0,1150.0,1015.0,-0.11739130434782609,0.09571209800918837
1023,Orlando,32835,FL,10.69,-0.0328264412265163,0.10760732324408198,0.09744214372716199,172300.0,189500.0,1397.5,1523.5,0.09016100178890876,0.09982588508415555
15,Nashville,37013,TN,10.700000000000001,0.0228945644472043,0.0820471853231393,0.130909090909091,165100.0,187200.0,1337.0,1477.5,0.10508601346297682,0.13385826771653545
1007,Charlotte,28262,NC,10.719999999999999,0.0132045415602022,0.0647936808688221,0.121372031662269,140900.0,158200.0,1175.0,1393.0,0.18553191489361703,0.12278211497515969
4153,Edmond,73003,OK,10.721666666666666,0.00952289759934155,0.0216884821288732,-0.0189171559034573,146300.0,142100.0,1250.0,1200.0,-0.04,-0.028708133971291867
1980,Fayetteville,28303,NC,10.741666666666667,-0.0026462591900986397,-0.0105815460112987,-0.0181818181818182,109400.0,106900.0,895.0,875.0,-0.0223463687150838,-0.022851919561243144
431,Boca Raton,33433,FL,10.751666666666665,-0.0089180617880058,0.10629532666174302,0.0670588235294118,282200.0,305900.0,2082.5,2200.0,0.056422569027611044,0.08398299078667612
976,Riverview,33578,FL,10.76,-0.0112649346658398,0.0979703421003617,0.0676241771394375,165700.0,177400.0,1379.0,1450.0,0.05148658448150834,0.07060953530476766
320,Powder Springs,30127,GA,10.775,0.00265343879504143,0.0823876477046672,0.0778186274509804,142800.0,153600.0,1150.0,1331.5,0.15782608695652173,0.07563025210084033
579,Columbia,65202,MO,10.781666666666666,0.00534680908846408,0.0209929019887618,0.0425367362722351,128100.0,133900.0,950.0,937.5,-0.013157894736842105,0.04527712724434036
227,Jacksonville,32256,FL,10.793333333333335,-0.0164648987477078,0.071571546589634,0.0740740740740741,158900.0,169300.0,1300.0,1350.0,0.038461538461538464,0.06544996853366897
1592,Boca Raton,33428,FL,10.825000000000001,-0.0123206125746809,0.131810490916146,0.0621266427718041,257800.0,275700.0,1995.0,1970.0,-0.012531328320802004,0.06943366951124903
560,Martinez,30907,GA,10.838333333333331,0.00247581027246313,0.028691525348122995,0.0265042979942693,131900.0,136200.0,1000.0,1135.0,0.135,0.032600454890068235
3758,Cape Coral,33909,FL,10.853333333333333,-0.0154336467610361,0.14084040701935502,0.0750769230769231,161300.0,173800.0,1300.0,1312.5,0.009615384615384616,0.07749535027898326
395,Jacksonville,32246,FL,10.868333333333334,-0.0139865626076066,0.0902750252665882,0.0915775401069519,152400.0,166200.0,1357.0,1475.0,0.08695652173913043,0.09055118110236221
203,Mansfield,76063,TX,10.928333333333333,0.0345011529199575,0.0757606860819504,0.0823529411764706,199300.0,214600.0,1500.0,1595.0,0.06333333333333334,0.0767686904164576
20,El Paso,79912,TX,10.931666666666667,-0.0096552814842551,-0.0049892268337340395,0.0089126559714795,148400.0,152500.0,1250.0,1250.0,0.0,0.027628032345013476
396,Summerville,29485,SC,10.945,0.0064444278158895,0.0451680007647468,0.0802168021680217,169100.0,180500.0,1297.5,1350.0,0.04046242774566474,0.06741573033707865
1291,Orange Park,32073,FL,10.953333333333333,-0.0121761260254815,0.0747650448970438,0.0802631578947369,144100.0,158800.0,1200.0,1250.0,0.041666666666666664,0.10201249132546843
601,Boynton Beach,33437,FL,10.961666666666668,-0.00866940462828658,0.0869752503273416,0.0204233197177869,269900.0,275500.0,1900.0,1850.0,-0.02631578947368421,0.020748425342719527
2962,Poinciana,34758,FL,10.963333333333333,-0.0267747526044886,0.143194872890807,0.142953929539295,135300.0,154500.0,1099.5,1262.5,0.14824920418371987,0.1419068736141907
1850,Acworth,30102,GA,10.966666666666669,0.0111510879086023,0.0798198071813863,0.0857843137254902,156400.0,168900.0,1250.0,1275.0,0.02,0.079923273657289
245,Loganville,30052,GA,10.968333333333334,0.00464717178676333,0.0845309769506965,0.0846654825340438,155800.0,166900.0,1245.5,1360.0,0.09193095142513047,0.07124518613607189
113,Pembroke Pines,33024,FL,11.005,-0.00886840465151062,0.14132711818528199,0.11961057023643902,226700.0,250900.0,1950.0,1999.5,0.025384615384615384,0.10674900749889722
3024,Pembroke Pines,33026,FL,11.023333333333333,-0.0107992466829774,0.118426914720145,0.0722100656455142,249200.0,265600.0,2099.5,2100.0,0.00023815194093831864,0.06581059390048154
713,Middleburg,32068,FL,11.033333333333333,-0.0140072252549207,0.0566119305859616,0.0500320718409237,145700.0,152800.0,1150.0,1250.0,0.08695652173913043,0.048730267673301304
